入国時年齢,性別,職種関係,職種,所在地(実習先)(都道府県),学校所属,組合,失踪の有無
23.0,女,食品製造関係,非加熱性水産加工食品製造業,宮城県,マンダレー校,宮城県農水産サービス振興協同組合,0
23.0,女,食品製造関係,非加熱性水産加工食品製造業,宮城県,マンダレー校,宮城県農水産サービス振興協同組合,0
22.0,男,食品製造関係,非加熱性水産加工食品製造業,千葉県,ヤンゴン学校,JOP協同組合,0
21.0,男,食品製造関係,非加熱性水産加工食品製造業,千葉県,ヤンゴン学校,JOP協同組合,0
32.0,男,食品製造関係,非加熱性水産加工食品製造業,千葉県,土屋,JOP協同組合,0
20.0,女,食品製造関係,水産練り製品製造,岡山県,ラーショー学校,JOP協同組合,0
20.0,女,食品製造関係,水産練り製品製造,岡山県,ヤンゴン学校,JOP協同組合,0
19.0,女,食品製造関係,水産練り製品製造,岡山県,ヤンゴン学校,JOP協同組合,0
19.0,女,食品製造関係,水産練り製品製造,岡山県,ヤンゴン学校,JOP協同組合,0
26.0,女,食品製造関係,水産練り製品製造,岡山県,ヤンゴン学校,JOP協同組合,0
23.0,女,食品製造関係,水産練り製品製造,岡山県,ヤンゴン学校,JOP協同組合,0
21.0,男,食品製造関係,水産練り製品製造,岡山県,ヤンゴン学校,JOP協同組合,0
25.0,男,食品製造関係,水産練り製品製造,岡山県,ヤンゴン学校,JOP協同組合,0
32.0,男,食品製造関係,水産練り製品製造,岡山県,ヤンゴン学校,JOP協同組合,0
23.0,男,食品製造関係,水産練り製品製造,岡山県,ヤンゴン学校,JOP協同組合,0
19.0,男,食品製造関係,水産練り製品製造,岡山県,ヤンゴン学校,JOP協同組合,0
20.0,男,食品製造関係,水産練り製品製造,岡山県,ヤンゴン学校,JOP協同組合,0
25.0,男,食品製造関係,水産練り製品製造,岡山県,ヤンゴン学校,JOP協同組合,0
24.0,男,食品製造関係,水産練り製品製造,岡山県,ヤンゴン学校,JOP協同組合,0
19.0,男,食品製造関係,そう菜製造業,山梨県,土屋,JOP協同組合,0
23.0,男,食品製造関係,そう菜製造業,山梨県,土屋,JOP協同組合,0
22.0,男,食品製造関係,そう菜製造業,山梨県,土屋,JOP協同組合,0
23.0,男,食品製造関係,そう菜製造業,山梨県,土屋,JOP協同組合,0
24.0,女,食品製造関係,そう菜製造業,宮城県,ヤンゴン学校,JOP協同組合,0
22.0,女,食品製造関係,そう菜製造業,宮城県,ヤンゴン学校,JOP協同組合,0
26.0,女,食品製造関係,そう菜製造業,宮城県,ヤンゴン学校,JOP協同組合,0
24.0,女,食品製造関係,そう菜製造業,宮城県,ヤンゴン学校,JOP協同組合,0
19.0,女,食品製造関係,そう菜製造業,青森県,ヤンゴン学校,JOP協同組合,0
22.0,女,食品製造関係,そう菜製造業,青森県,ヤンゴン学校,JOP協同組合,0
22.0,女,食品製造関係,そう菜製造業,青森県,ヤンゴン学校,JOP協同組合,0
23.0,女,食品製造関係,そう菜製造業,青森県,マンダレー校,JOP協同組合,0
20.0,女,食品製造関係,加熱性水産加工食品製造業,宮城県,ヤンゴン学校,JOP協同組合,0
27.0,女,食品製造関係,加熱性水産加工食品製造業,宮城県,ヤンゴン学校,JOP協同組合,0
28.0,女,食品製造関係,加熱性水産加工食品製造業,宮城県,ヤンゴン学校,JOP協同組合,0
22.0,女,食品製造関係,加熱性水産加工食品製造業,宮城県,ヤンゴン学校,JOP協同組合,0
23.0,女,食品製造関係,加熱性水産加工食品製造業,宮城県,マンダレー校,JOP協同組合,0
28.0,女,食品製造関係,加熱性水産加工食品製造業,宮城県,マンダレー校,JOP協同組合,0
20.0,女,食品製造関係,食鳥処理加工業,宮城県,ヤンゴン学校,JOP協同組合,0
21.0,女,食品製造関係,食鳥処理加工業,宮城県,ヤンゴン学校,JOP協同組合,0
19.0,女,食品製造関係,食鳥処理加工業,宮城県,マンダレー校,JOP協同組合,0
21.0,女,繊維・衣服関係,婦人子供服製造,宮城県,ヤンゴン学校,日中ネットワークサービス協同組合,0
26.0,女,繊維・衣服関係,婦人子供服製造,宮城県,ヤンゴン学校,日中ネットワークサービス協同組合,1
25.0,女,食品製造関係,そう菜製造業,大阪府,ヤンゴン学校,JOP協同組合,0
28.0,女,食品製造関係,そう菜製造業,大阪府,マンダレー校,JOP協同組合,0
26.0,女,食品製造関係,そう菜製造業,大阪府,ヤンゴン学校,JOP協同組合,0
19.0,女,食品製造関係,加熱性水産加工食品製造業,宮城県,ヤンゴン学校,宮城県農水産サービス振興協同組合,0
18.0,女,食品製造関係,加熱性水産加工食品製造業,宮城県,ヤンゴン学校,宮城県農水産サービス振興協同組合,0
26.0,女,食品製造関係,加熱性水産加工食品製造業,宮城県,ヤンゴン学校,宮城県農水産サービス振興協同組合,0
29.0,女,食品製造関係,加熱性水産加工食品製造業,宮城県,ヤンゴン学校,宮城県農水産サービス振興協同組合,0
22.0,女,食品製造関係,加熱性水産加工食品製造業,宮城県,ヤンゴン学校,宮城県農水産サービス振興協同組合,0
20.0,女,食品製造関係,加熱性水産加工食品製造業,宮城県,ヤンゴン学校,宮城県農水産サービス振興協同組合,0
26.0,女,農業・林業関係,耕種農業,宮城県,ヤンゴン学校,宮城県農水産サービス振興協同組合,0
22.0,女,農業・林業関係,耕種農業,宮城県,ヤンゴン学校,宮城県農水産サービス振興協同組合,0
25.0,女,農業・林業関係,耕種農業,宮城県,ヤンゴン学校,宮城県農水産サービス振興協同組合,0
23.0,女,食品製造関係,そう菜製造業,北海道,ヤンゴン学校,JOP協同組合,0
24.0,女,食品製造関係,そう菜製造業,北海道,ヤンゴン学校,JOP協同組合,0
25.0,女,食品製造関係,そう菜製造業,北海道,ヤンゴン学校,JOP協同組合,0
20.0,女,食品製造関係,そう菜製造業,北海道,ヤンゴン学校,JOP協同組合,0
24.0,女,機械・金属関係,電子機器組立て,福島県,ヤンゴン学校,JOP協同組合,0
29.0,女,機械・金属関係,電子機器組立て,福島県,ヤンゴン学校,JOP協同組合,0
19.0,女,機械・金属関係,電子機器組立て,福島県,ヤンゴン学校,JOP協同組合,0
22.0,女,機械・金属関係,電子機器組立て,福島県,ヤンゴン学校,JOP協同組合,0
26.0,女,機械・金属関係,電子機器組立て,福島県,ヤンゴン学校,JOP協同組合,0
27.0,女,機械・金属関係,電子機器組立て,福島県,ヤンゴン学校,JOP協同組合,0
22.0,女,機械・金属関係,電子機器組立て,福島県,ヤンゴン学校,JOP協同組合,0
19.0,女,機械・金属関係,電子機器組立て,福島県,ヤンゴン学校,JOP協同組合,0
23.0,女,機械・金属関係,電子機器組立て,福島県,ヤンゴン学校,JOP協同組合,0
28.0,女,機械・金属関係,電子機器組立て,福島県,ヤンゴン学校,JOP協同組合,0
23.0,女,食品製造関係,非加熱性水産加工食品製造業,宮城県,ヤンゴン学校,JOP協同組合,0
27.0,女,食品製造関係,非加熱性水産加工食品製造業,宮城県,ヤンゴン学校,JOP協同組合,0
22.0,女,食品製造関係,非加熱性水産加工食品製造業,宮城県,ヤンゴン学校,JOP協同組合,0
22.0,女,食品製造関係,非加熱性水産加工食品製造業,宮城県,ヤンゴン学校,JOP協同組合,0
24.0,女,食品製造関係,非加熱性水産加工食品製造業,宮城県,ヤンゴン学校,JOP協同組合,0
22.0,女,食品製造関係,非加熱性水産加工食品製造業,宮城県,ヤンゴン学校,JOP協同組合,0
24.0,女,食品製造関係,非加熱性水産加工食品製造業,宮城県,ヤンゴン学校,JOP協同組合,0
27.0,女,食品製造関係,非加熱性水産加工食品製造業,宮城県,マンダレー校,JOP協同組合,0
22.0,女,食品製造関係,非加熱性水産加工食品製造業,宮城県,マンダレー校,JOP協同組合,0
21.0,女,食品製造関係,非加熱性水産加工食品製造業,宮城県,マンダレー校,JOP協同組合,0
31.0,女,食品製造関係,加熱性水産加工食品製造業,宮城県,ヤンゴン学校,JOP協同組合,0
23.0,女,食品製造関係,加熱性水産加工食品製造業,宮城県,ヤンゴン学校,JOP協同組合,0
18.0,女,食品製造関係,加熱性水産加工食品製造業,宮城県,ヤンゴン学校,JOP協同組合,0
21.0,女,食品製造関係,加熱性水産加工食品製造業,宮城県,マンダレー校,JOP協同組合,0
24.0,女,食品製造関係,加熱性水産加工食品製造業,宮城県,マンダレー校,JOP協同組合,0
18.0,女,食品製造関係,加熱性水産加工食品製造業,宮城県,マンダレー校,JOP協同組合,0
22.0,男,建設関係,とび,東京都,ラーショー学校,一般社団法人日中科学技術文化センター,0
23.0,男,建設関係,とび,東京都,ラーショー学校,一般社団法人日中科学技術文化センター,0
25.0,男,建設関係,とび,東京都,ミッチーナー学校,一般社団法人日中科学技術文化センター,0
25.0,女,農業・林業関係,耕種農業,福岡県,ヤンゴン学校,一般社団法人日中科学技術文化センター,0
22.0,女,農業・林業関係,耕種農業,福岡県,ヤンゴン学校,一般社団法人日中科学技術文化センター,0
27.0,女,農業・林業関係,耕種農業,福岡県,ヤンゴン学校,一般社団法人日中科学技術文化センター,0
28.0,男,その他,溶接,福岡県,土屋,九州産業振興協同組合,0
19.0,女,農業・林業関係,耕種農業,福岡県,ヤンゴン学校,一般社団法人日中科学技術文化センター,0
23.0,女,農業・林業関係,耕種農業,福岡県,ヤンゴン学校,一般社団法人日中科学技術文化センター,0
22.0,女,農業・林業関係,耕種農業,福岡県,ヤンゴン学校,一般社団法人日中科学技術文化センター,0
19.0,男,建設関係,建築大工,福岡県,土屋,一般社団法人日中科学技術文化センター,0
24.0,男,建設関係,建築大工,福岡県,ヤンゴン学校,一般社団法人日中科学技術文化センター,0
20.0,男,食品製造関係,そう菜製造業,神奈川県,ヤンゴン学校,JOP協同組合,0
20.0,男,食品製造関係,そう菜製造業,神奈川県,ヤンゴン学校,JOP協同組合,0
22.0,男,食品製造関係,そう菜製造業,神奈川県,ヤンゴン学校,JOP協同組合,0
23.0,男,食品製造関係,そう菜製造業,神奈川県,ヤンゴン学校,JOP協同組合,0
22.0,男,食品製造関係,そう菜製造業,神奈川県,ヤンゴン学校,JOP協同組合,0
26.0,男,食品製造関係,そう菜製造業,神奈川県,ヤンゴン学校,JOP協同組合,0
20.0,女,食品製造関係,そう菜製造業,北海道,ヤンゴン学校,JOP協同組合,0
22.0,女,食品製造関係,そう菜製造業,北海道,ヤンゴン学校,JOP協同組合,0
21.0,女,食品製造関係,そう菜製造業,北海道,マンダレー校,JOP協同組合,0
32.0,女,食品製造関係,そう菜製造業,北海道,マンダレー校,JOP協同組合,0
22.0,女,食品製造関係,そう菜製造業,北海道,ヤンゴン学校,JOP協同組合,0
25.0,女,食品製造関係,そう菜製造業,北海道,ヤンゴン学校,JOP協同組合,0
19.0,女,食品製造関係,そう菜製造業,北海道,ヤンゴン学校,JOP協同組合,0
23.0,女,食品製造関係,そう菜製造業,北海道,ヤンゴン学校,JOP協同組合,0
24.0,女,食品製造関係,そう菜製造業,北海道,ヤンゴン学校,JOP協同組合,0
26.0,女,食品製造関係,そう菜製造業,北海道,ヤンゴン学校,JOP協同組合,0
19.0,男,食品製造関係,非加熱性水産加工食品製造業,神奈川県,土屋,JOP協同組合,0
28.0,男,食品製造関係,非加熱性水産加工食品製造業,神奈川県,土屋,JOP協同組合,0
21.0,男,食品製造関係,非加熱性水産加工食品製造業,神奈川県,ヤンゴン学校,JOP協同組合,0
25.0,女,食品製造関係,非加熱性水産加工食品製造業,宮城県,ヤンゴン学校,JOP協同組合,0
20.0,女,食品製造関係,非加熱性水産加工食品製造業,宮城県,ヤンゴン学校,JOP協同組合,0
25.0,女,機械・金属関係,金属プレス加工,北海道,ヤンゴン学校,JOP協同組合,0
19.0,女,機械・金属関係,金属プレス加工,北海道,ヤンゴン学校,JOP協同組合,0
23.0,女,機械・金属関係,金属プレス加工,北海道,ヤンゴン学校,JOP協同組合,0
24.0,女,機械・金属関係,金属プレス加工,北海道,ヤンゴン学校,JOP協同組合,0
23.0,女,機械・金属関係,金属プレス加工,北海道,ヤンゴン学校,JOP協同組合,0
21.0,女,機械・金属関係,金属プレス加工,北海道,マンダレー校,JOP協同組合,0
20.0,女,機械・金属関係,金属プレス加工,北海道,マンダレー校,JOP協同組合,0
21.0,女,機械・金属関係,金属プレス加工,北海道,マンダレー校,JOP協同組合,0
19.0,女,食品製造関係,そう菜製造業,岩手県,ヤンゴン学校,JOP協同組合,0
21.0,女,食品製造関係,そう菜製造業,岩手県,ヤンゴン学校,JOP協同組合,0
21.0,女,食品製造関係,そう菜製造業,岩手県,ヤンゴン学校,JOP協同組合,0
18.0,女,食品製造関係,そう菜製造業,岩手県,ヤンゴン学校,JOP協同組合,0
20.0,女,食品製造関係,そう菜製造業,岩手県,ヤンゴン学校,JOP協同組合,0
21.0,女,食品製造関係,そう菜製造業,岩手県,ヤンゴン学校,JOP協同組合,0
19.0,女,食品製造関係,そう菜製造業,岩手県,ヤンゴン学校,JOP協同組合,0
21.0,女,食品製造関係,そう菜製造業,岩手県,マンダレー校,JOP協同組合,0
20.0,女,食品製造関係,そう菜製造業,岩手県,マンダレー校,JOP協同組合,0
18.0,女,食品製造関係,そう菜製造業,岩手県,マンダレー校,JOP協同組合,0
24.0,女,食品製造関係,そう菜製造業,埼玉県,ヤンゴン学校,アジアイノベーション協同組合,0
33.0,女,食品製造関係,そう菜製造業,埼玉県,マンダレー校,アジアイノベーション協同組合,0
31.0,女,食品製造関係,そう菜製造業,埼玉県,マンダレー校,アジアイノベーション協同組合,0
21.0,女,食品製造関係,そう菜製造業,埼玉県,ヤンゴン学校,アジアイノベーション協同組合,0
21.0,女,食品製造関係,そう菜製造業,埼玉県,ヤンゴン学校,アジアイノベーション協同組合,0
23.0,女,食品製造関係,そう菜製造業,埼玉県,ヤンゴン学校,アジアイノベーション協同組合,0
22.0,女,食品製造関係,そう菜製造業,埼玉県,ヤンゴン学校,アジアイノベーション協同組合,0
19.0,男,食品製造関係,そう菜製造業,埼玉県,ヤンゴン学校,アジアイノベーション協同組合,0
22.0,男,食品製造関係,そう菜製造業,埼玉県,ヤンゴン学校,アジアイノベーション協同組合,0
25.0,男,食品製造関係,そう菜製造業,埼玉県,ヤンゴン学校,アジアイノベーション協同組合,0
20.0,男,食品製造関係,そう菜製造業,埼玉県,ヤンゴン学校,アジアイノベーション協同組合,0
19.0,男,食品製造関係,そう菜製造業,埼玉県,マンダレー校,アジアイノベーション協同組合,0
29.0,男,食品製造関係,そう菜製造業,埼玉県,マンダレー校,アジアイノベーション協同組合,0
26.0,男,食品製造関係,そう菜製造業,埼玉県,マンダレー校,アジアイノベーション協同組合,0
20.0,男,食品製造関係,そう菜製造業,埼玉県,マンダレー校,アジアイノベーション協同組合,0
18.0,女,食品製造関係,そう菜製造業,埼玉県,ヤンゴン学校,アジアイノベーション協同組合,0
20.0,女,食品製造関係,そう菜製造業,埼玉県,マンダレー校,アジアイノベーション協同組合,0
26.0,女,食品製造関係,そう菜製造業,埼玉県,ヤンゴン学校,アジアイノベーション協同組合,0
19.0,女,食品製造関係,そう菜製造業,埼玉県,ヤンゴン学校,アジアイノベーション協同組合,0
24.0,女,食品製造関係,そう菜製造業,埼玉県,ヤンゴン学校,アジアイノベーション協同組合,0
22.0,女,食品製造関係,そう菜製造業,埼玉県,ヤンゴン学校,アジアイノベーション協同組合,0
26.0,男,その他,プラスチック成形,埼玉県,ヤンゴン学校,JOP協同組合,0
22.0,男,その他,プラスチック成形,埼玉県,ヤンゴン学校,JOP協同組合,0
23.0,男,その他,プラスチック成形,埼玉県,ヤンゴン学校,JOP協同組合,0
22.0,男,その他,プラスチック成形,埼玉県,ヤンゴン学校,JOP協同組合,0
22.0,男,その他,プラスチック成形,埼玉県,ヤンゴン学校,JOP協同組合,0
26.0,男,その他,プラスチック成形,埼玉県,土屋,JOP協同組合,0
20.0,女,食品製造関係,加熱性水産加工食品製造業,宮城県,ヤンゴン学校,JOP協同組合,0
20.0,女,食品製造関係,加熱性水産加工食品製造業,宮城県,ヤンゴン学校,JOP協同組合,0
21.0,女,食品製造関係,加熱性水産加工食品製造業,宮城県,ヤンゴン学校,JOP協同組合,0
23.0,女,食品製造関係,加熱性水産加工食品製造業,宮城県,ヤンゴン学校,JOP協同組合,0
26.0,女,食品製造関係,加熱性水産加工食品製造業,宮城県,ヤンゴン学校,JOP協同組合,0
23.0,女,食品製造関係,加熱性水産加工食品製造業,宮城県,ヤンゴン学校,JOP協同組合,0
21.0,男,その他,溶接,愛知県,ヤンゴン学校,JOP協同組合,0
21.0,男,その他,溶接,愛知県,マンダレー校,JOP協同組合,0
20.0,男,その他,溶接,愛知県,マンダレー校,JOP協同組合,0
19.0,男,建設関係,かわらぶき,福岡県,ヤンゴン学校,一般社団法人日中科学技術文化センター,0
19.0,男,建設関係,かわらぶき,福岡県,ヤンゴン学校,一般社団法人日中科学技術文化センター,0
19.0,男,建設関係,とび,神奈川県,ヤンゴン学校,健康生活事業協同組合,0
22.0,男,建設関係,とび,神奈川県,ヤンゴン学校,健康生活事業協同組合,0
21.0,男,建設関係,とび,神奈川県,ヤンゴン学校,健康生活事業協同組合,0
21.0,女,食品製造関係,非加熱性水産加工食品製造業,宮城県,ヤンゴン学校,宮城県農水産サービス振興協同組合,0
21.0,女,食品製造関係,非加熱性水産加工食品製造業,宮城県,ヤンゴン学校,宮城県農水産サービス振興協同組合,0
25.0,女,食品製造関係,非加熱性水産加工食品製造業,宮城県,ヤンゴン学校,宮城県農水産サービス振興協同組合,0
22.0,女,食品製造関係,非加熱性水産加工食品製造業,宮城県,ヤンゴン学校,宮城県農水産サービス振興協同組合,0
27.0,女,食品製造関係,非加熱性水産加工食品製造業,宮城県,ヤンゴン学校,宮城県農水産サービス振興協同組合,0
24.0,女,食品製造関係,非加熱性水産加工食品製造業,宮城県,ヤンゴン学校,宮城県農水産サービス振興協同組合,0
20.0,男,建設関係,配管,福岡県,ヤンゴン学校,一般社団法人日中科学技術文化センター,0
24.0,男,建設関係,配管,福岡県,ヤンゴン学校,一般社団法人日中科学技術文化センター,0
25.0,男,食品製造関係,そう菜製造業,山梨県,ヤンゴン学校,JOP協同組合,0
20.0,男,食品製造関係,そう菜製造業,山梨県,マンダレー校,JOP協同組合,0
21.0,男,食品製造関係,そう菜製造業,山梨県,マンダレー校,JOP協同組合,0
19.0,男,食品製造関係,そう菜製造業,山梨県,マンダレー校,JOP協同組合,0
20.0,男,食品製造関係,そう菜製造業,山梨県,マンダレー校,JOP協同組合,0
22.0,男,食品製造関係,そう菜製造業,山梨県,マンダレー校,JOP協同組合,0
28.0,女,機械・金属関係,電子機器組立て,鳥取県,ヤンゴン学校,JOP協同組合,0
23.0,女,機械・金属関係,電子機器組立て,鳥取県,ヤンゴン学校,JOP協同組合,0
23.0,女,機械・金属関係,電子機器組立て,鳥取県,ミッチーナー学校,JOP協同組合,0
19.0,女,機械・金属関係,電子機器組立て,鳥取県,ラーショー学校,JOP協同組合,0
19.0,女,機械・金属関係,電子機器組立て,鳥取県,ラーショー学校,JOP協同組合,0
25.0,女,機械・金属関係,電子機器組立て,鳥取県,ラーショー学校,JOP協同組合,0
22.0,女,その他,プラスチック成形,埼玉県,ミッチーナー学校,JOP協同組合,0
20.0,女,その他,プラスチック成形,埼玉県,ラーショー学校,JOP協同組合,0
22.0,女,その他,プラスチック成形,埼玉県,ミッチーナー学校,JOP協同組合,0
20.0,女,その他,プラスチック成形,埼玉県,ラーショー学校,JOP協同組合,0
21.0,女,食品製造関係,そう菜製造業,岩手県,ヤンゴン学校,JOP協同組合,0
21.0,女,食品製造関係,そう菜製造業,岩手県,ヤンゴン学校,JOP協同組合,0
19.0,女,食品製造関係,そう菜製造業,岩手県,マンダレー校,JOP協同組合,0
19.0,女,食品製造関係,そう菜製造業,岩手県,マンダレー校,JOP協同組合,0
21.0,女,食品製造関係,そう菜製造業,岩手県,マンダレー校,JOP協同組合,0
24.0,女,食品製造関係,そう菜製造業,岩手県,ヤンゴン学校,JOP協同組合,0
20.0,女,食品製造関係,そう菜製造業,岩手県,ヤンゴン学校,JOP協同組合,0
24.0,女,食品製造関係,そう菜製造業,岩手県,ヤンゴン学校,JOP協同組合,0
22.0,女,食品製造関係,そう菜製造業,岩手県,ヤンゴン学校,JOP協同組合,0
23.0,女,食品製造関係,そう菜製造業,岩手県,ヤンゴン学校,JOP協同組合,0
21.0,女,食品製造関係,非加熱性水産加工食品製造業,宮城県,ヤンゴン学校,JOP協同組合,0
26.0,女,食品製造関係,非加熱性水産加工食品製造業,宮城県,ヤンゴン学校,JOP協同組合,0
20.0,女,食品製造関係,非加熱性水産加工食品製造業,宮城県,ヤンゴン学校,JOP協同組合,0
25.0,女,食品製造関係,非加熱性水産加工食品製造業,宮城県,ヤンゴン学校,JOP協同組合,0
18.0,女,機械・金属関係,金属プレス加工,北海道,ヤンゴン学校,JOP協同組合,0
20.0,女,機械・金属関係,金属プレス加工,北海道,ヤンゴン学校,JOP協同組合,0
28.0,女,機械・金属関係,金属プレス加工,北海道,ヤンゴン学校,JOP協同組合,0
23.0,女,機械・金属関係,金属プレス加工,北海道,ヤンゴン学校,JOP協同組合,0
19.0,女,食品製造関係,そう菜製造業,大阪府,マンダレー校,JOP協同組合,0
22.0,女,食品製造関係,そう菜製造業,大阪府,ラーショー学校,JOP協同組合,0
18.0,女,食品製造関係,そう菜製造業,大阪府,マンダレー校,JOP協同組合,0
20.0,男,建設関係,左官,福岡県,ヤンゴン学校,一般社団法人日中科学技術文化センター,0
25.0,男,建設関係,型枠施工,福岡県,ヤンゴン学校,一般社団法人日中科学技術文化センター,0
26.0,男,建設関係,鉄筋施工,福岡県,マンダレー校,一般社団法人日中科学技術文化センター,0
20.0,男,建設関係,左官,福岡県,マンダレー校,一般社団法人日中科学技術文化センター,0
20.0,男,建設関係,鉄筋施工,福岡県,マンダレー校,一般社団法人日中科学技術文化センター,0
23.0,女,その他,ビルクリーニング,山形県,ヤンゴン学校,一般社団法人日中科学技術文化センター,0
21.0,女,その他,ビルクリーニング,山形県,ヤンゴン学校,一般社団法人日中科学技術文化センター,0
23.0,女,その他,ビルクリーニング,山形県,ミッチーナー学校,一般社団法人日中科学技術文化センター,0
27.0,女,その他,ビルクリーニング,山形県,ラーショー学校,一般社団法人日中科学技術文化センター,0
22.0,男,その他,塗装,茨城県,日本側内定,健康生活事業協同組合,0
23.0,男,その他,塗装,茨城県,日本側内定,健康生活事業協同組合,0
20.0,男,その他,塗装,茨城県,日本側内定,健康生活事業協同組合,0
25.0,男,建設関係,建築板金,福岡県,マンダレー校,一般社団法人日中科学技術文化センター,0
19.0,男,建設関係,建築板金,福岡県,マンダレー校,一般社団法人日中科学技術文化センター,0
24.0,男,建設関係,建築板金,福岡県,マンダレー校,一般社団法人日中科学技術文化センター,0
21.0,男,建設関係,建設機械施工,群馬県,マンダレー校,一般社団法人日中科学技術文化センター,0
21.0,男,建設関係,建設機械施工,群馬県,マンダレー校,一般社団法人日中科学技術文化センター,0
24.0,女,食品製造関係,そう菜製造業,宮城県,ヤンゴン学校,JOP協同組合,0
23.0,女,食品製造関係,そう菜製造業,宮城県,ヤンゴン学校,JOP協同組合,0
23.0,女,食品製造関係,そう菜製造業,宮城県,ヤンゴン学校,JOP協同組合,0
19.0,女,食品製造関係,そう菜製造業,宮城県,ヤンゴン学校,JOP協同組合,0
24.0,女,食品製造関係,そう菜製造業,宮城県,ヤンゴン学校,JOP協同組合,0
26.0,女,食品製造関係,そう菜製造業,宮崎県,マンダレー校,JOP協同組合,0
19.0,女,食品製造関係,そう菜製造業,宮崎県,ヤンゴン学校,JOP協同組合,0
26.0,女,食品製造関係,そう菜製造業,宮崎県,ヤンゴン学校,JOP協同組合,0
22.0,女,食品製造関係,そう菜製造業,宮崎県,ヤンゴン学校,JOP協同組合,0
21.0,男,食品製造関係,そう菜製造業,宮崎県,マンダレー校,JOP協同組合,0
27.0,男,食品製造関係,そう菜製造業,宮崎県,マンダレー校,JOP協同組合,0
23.0,女,食品製造関係,そう菜製造業,宮城県,ヤンゴン学校,JOP協同組合,0
23.0,女,食品製造関係,そう菜製造業,宮城県,ヤンゴン学校,JOP協同組合,0
24.0,女,食品製造関係,そう菜製造業,宮城県,ヤンゴン学校,JOP協同組合,0
23.0,女,食品製造関係,そう菜製造業,宮城県,ヤンゴン学校,JOP協同組合,0
24.0,女,食品製造関係,そう菜製造業,宮城県,ヤンゴン学校,JOP協同組合,0
25.0,女,食品製造関係,そう菜製造業,新潟県,ヤンゴン学校,JOP協同組合,0
19.0,女,食品製造関係,そう菜製造業,新潟県,ヤンゴン学校,JOP協同組合,0
19.0,女,食品製造関係,そう菜製造業,新潟県,ヤンゴン学校,JOP協同組合,0
22.0,女,食品製造関係,そう菜製造業,新潟県,ヤンゴン学校,JOP協同組合,0
26.0,女,食品製造関係,そう菜製造業,新潟県,ヤンゴン学校,JOP協同組合,0
24.0,男,機械・金属関係,工場板金,愛知県,ヤンゴン学校,健康生活事業協同組合,0
24.0,男,機械・金属関係,工場板金,愛知県,ヤンゴン学校,健康生活事業協同組合,0
21.0,女,食品製造関係,そう菜製造業,宮城県,マンダレー校,宮城県農水産サービス振興協同組合,0
23.0,女,食品製造関係,そう菜製造業,宮城県,マンダレー校,宮城県農水産サービス振興協同組合,0
22.0,女,食品製造関係,そう菜製造業,宮城県,マンダレー校,宮城県農水産サービス振興協同組合,0
21.0,女,食品製造関係,そう菜製造業,宮城県,ヤンゴン学校,宮城県農水産サービス振興協同組合,0
27.0,女,食品製造関係,そう菜製造業,宮城県,ヤンゴン学校,宮城県農水産サービス振興協同組合,0
26.0,女,食品製造関係,そう菜製造業,宮城県,ヤンゴン学校,宮城県農水産サービス振興協同組合,0
22.0,女,食品製造関係,そう菜製造業,宮城県,ヤンゴン学校,宮城県農水産サービス振興協同組合,0
21.0,女,食品製造関係,そう菜製造業,宮城県,ヤンゴン学校,宮城県農水産サービス振興協同組合,0
24.0,女,食品製造関係,そう菜製造業,宮城県,ヤンゴン学校,宮城県農水産サービス振興協同組合,0
22.0,女,食品製造関係,そう菜製造業,宮城県,ヤンゴン学校,宮城県農水産サービス振興協同組合,0
24.0,女,食品製造関係,そう菜製造業,宮城県,ヤンゴン学校,宮城県農水産サービス振興協同組合,0
19.0,女,食品製造関係,そう菜製造業,宮城県,ヤンゴン学校,宮城県農水産サービス振興協同組合,0
22.0,女,食品製造関係,そう菜製造業,宮城県,ヤンゴン学校,宮城県農水産サービス振興協同組合,0
22.0,女,食品製造関係,そう菜製造業,宮城県,ヤンゴン学校,宮城県農水産サービス振興協同組合,0
21.0,男,食品製造関係,非加熱性水産加工食品製造業,千葉県,ヤンゴン学校,JOP協同組合,0
21.0,男,食品製造関係,非加熱性水産加工食品製造業,千葉県,マンダレー校,JOP協同組合,0
22.0,女,農業・林業関係,耕種農業,福岡県,ヤンゴン学校,九州産業振興協同組合,0
24.0,女,農業・林業関係,耕種農業,福岡県,ヤンゴン学校,九州産業振興協同組合,0
21.0,女,繊維・衣服関係,婦人子供服製造,宮城県,ヤンゴン学校,日中ネットワークサービス協同組合,0
30.0,女,繊維・衣服関係,婦人子供服製造,宮城県,ヤンゴン学校,日中ネットワークサービス協同組合,1
23.0,男,食品製造関係,水産練り製品製造,岡山県,ヤンゴン学校,JOP協同組合,0
29.0,男,食品製造関係,水産練り製品製造,岡山県,ヤンゴン学校,JOP協同組合,0
19.0,男,食品製造関係,水産練り製品製造,岡山県,ヤンゴン学校,JOP協同組合,0
20.0,男,食品製造関係,水産練り製品製造,岡山県,ヤンゴン学校,JOP協同組合,0
20.0,男,食品製造関係,水産練り製品製造,岡山県,ヤンゴン学校,JOP協同組合,0
22.0,男,食品製造関係,水産練り製品製造,岡山県,ヤンゴン学校,JOP協同組合,0
21.0,男,食品製造関係,水産練り製品製造,岡山県,ヤンゴン学校,JOP協同組合,0
25.0,男,食品製造関係,水産練り製品製造,岡山県,ヤンゴン学校,JOP協同組合,0
